bus_id,date,odometer_reading,replacement
4287,1974-12-01,2633,0
4287,1975-01-01,5968,0
4287,1975-02-01,9626,0
4287,1975-03-01,13130,0
4287,1975-04-01,17235,0
4287,1975-05-01,21454,0
4287,1975-06-01,26197,0
4287,1975-07-01,30992,0
4287,1975-08-01,36100,0
4287,1975-09-01,39610,0
4287,1975-10-01,41330,0
4287,1975-11-01,44559,0
4287,1975-12-01,47530,0
4287,1976-01-01,50834,0
4287,1976-02-01,54275,0
4287,1976-03-01,55843,0
4287,1976-04-01,58545,0
4287,1976-05-01,61686,0
4287,1976-06-01,64841,0
4287,1976-07-01,67892,0
4287,1976-08-01,70942,0
4287,1976-09-01,74151,0
4287,1976-10-01,77275,0
4287,1976-11-01,80750,0
4287,1976-12-01,83931,0
4287,1977-01-01,86912,0
4287,1977-02-01,89619,0
4287,1977-03-01,91824,0
4287,1977-04-01,94743,0
4287,1977-05-01,96171,0
4287,1977-06-01,97369,0
4287,1977-07-01,97706,0
4287,1977-08-01,98599,0
4287,1977-09-01,98950,0
4287,1977-10-01,99700,0
4287,1977-11-01,100769,0
4287,1977-12-01,101176,0
4287,1978-01-01,101782,0
4287,1978-02-01,103573,0
4287,1978-03-01,105954,0
4287,1978-04-01,108272,0
4287,1978-05-01,110965,0
4287,1978-06-01,113195,0
4287,1978-07-01,114750,0
4287,1978-08-01,117013,0
4287,1978-09-01,119414,0
4287,1978-10-01,121819,0
4287,1978-11-01,124714,0
4287,1978-12-01,127319,0
4287,1979-01-01,129548,0
4287,1979-02-01,132007,0
4287,1979-03-01,134650,0
4287,1979-04-01,136914,0
4287,1979-05-01,139589,0
4287,1979-06-01,141826,0
4287,1979-07-01,143815,0
4287,1979-08-01,146369,0
4287,1979-09-01,147841,0
4287,1979-10-01,150022,0
4287,1979-11-01,152583,0
4287,1979-12-01,155522,0
4287,1980-01-01,156985,0
4287,1980-02-01,158744,0
4287,1980-03-01,160315,0
4287,1980-04-01,162105,0
4287,1980-05-01,163272,0
4287,1980-06-01,163721,0
4287,1980-07-01,164990,0
4287,1980-08-01,167213,0
4287,1980-09-01,169125,0
4287,1980-10-01,170366,0
4287,1980-11-01,171751,0
4287,1980-12-01,173450,0
4287,1981-01-01,175840,0
4287,1981-02-01,177786,0
4287,1981-03-01,179538,0
4287,1981-04-01,181552,0
4287,1981-05-01,183390,0
4287,1981-06-01,184972,0
4287,1981-07-01,186861,0
4287,1981-08-01,188834,0
4287,1981-09-01,190052,0
4287,1981-10-01,191614,0
4287,1981-11-01,192467,0
4287,1981-12-01,193739,0
4287,1982-01-01,195035,0
4287,1982-02-01,196315,0
4287,1982-03-01,196762,0
4287,1982-04-01,198240,0
4287,1982-05-01,198937,0
4287,1982-06-01,199362,0
4287,1982-07-01,199423,0
4287,1982-08-01,200176,0
4287,1982-09-01,201247,0
4287,1982-10-01,202331,0
4287,1982-11-01,203456,0
4287,1982-12-01,204438,0
4287,1983-01-01,205168,0
4287,1983-02-01,206110,0
4287,1983-03-01,207431,0
4287,1983-04-01,208279,0
4287,1983-05-01,209605,0
4287,1983-06-01,209996,0
4287,1983-07-01,210835,0
4287,1983-08-01,210835,0
4287,1983-09-01,211174,0
4287,1983-10-01,212211,0
4287,1983-11-01,212786,0
4287,1983-12-01,213456,0
4287,1984-01-01,214779,0
4287,1984-02-01,215979,0
4287,1984-03-01,217070,0
4287,1984-04-01,218050,0
4287,1984-05-01,219061,0
4287,1984-06-01,220080,0
4287,1984-07-01,220297,0
4287,1984-08-01,220887,0
4287,1984-09-01,221672,0
4287,1984-10-01,222430,0
4287,1984-11-01,223162,1
4287,1984-12-01,224033,0
4287,1985-01-01,224823,0
4287,1985-02-01,225791,0
4287,1985-03-01,226690,0
4287,1985-04-01,227690,0
