bus_id,date,odometer_reading,replacement,bus_family
4239,1974-12-01,140953,0,a452372
4239,1975-01-01,142960,0,a452372
4239,1975-02-01,145380,0,a452372
4239,1975-03-01,148140,0,a452372
4239,1975-04-01,150921,0,a452372
4239,1975-05-01,153839,0,a452372
4239,1975-06-01,155841,0,a452372
4239,1975-07-01,158063,0,a452372
4239,1975-08-01,160674,0,a452372
4239,1975-09-01,162984,0,a452372
4239,1975-10-01,165120,0,a452372
4239,1975-11-01,166057,0,a452372
4239,1975-12-01,166057,0,a452372
4239,1976-01-01,166057,1,a452372
4239,1976-02-01,166057,0,a452372
4239,1976-03-01,168999,0,a452372
4239,1976-04-01,170948,0,a452372
4239,1976-05-01,172788,0,a452372
4239,1976-06-01,173173,0,a452372
4239,1976-07-01,175141,0,a452372
4239,1976-08-01,178058,0,a452372
4239,1976-09-01,181935,0,a452372
4239,1976-10-01,183894,0,a452372
4239,1976-11-01,186001,0,a452372
4239,1976-12-01,188214,0,a452372
4239,1977-01-01,191576,0,a452372
4239,1977-02-01,192047,0,a452372
4239,1977-03-01,193379,0,a452372
4239,1977-04-01,194976,0,a452372
4239,1977-05-01,196145,0,a452372
4239,1977-06-01,197858,0,a452372
4239,1977-07-01,198474,0,a452372
4239,1977-08-01,198474,0,a452372
4239,1977-09-01,199530,0,a452372
4239,1977-10-01,201378,0,a452372
4239,1977-11-01,203108,0,a452372
4239,1977-12-01,204878,0,a452372
4239,1978-01-01,206548,0,a452372
4239,1978-02-01,208373,0,a452372
4239,1978-03-01,209746,0,a452372
4239,1978-04-01,211434,0,a452372
4239,1978-05-01,212746,0,a452372
4239,1978-06-01,214017,0,a452372
4239,1978-07-01,215295,0,a452372
4239,1978-08-01,216257,0,a452372
4239,1978-09-01,217315,0,a452372
4239,1978-10-01,218563,0,a452372
4239,1978-11-01,219866,0,a452372
4239,1978-12-01,221541,0,a452372
4239,1979-01-01,222867,0,a452372
4239,1979-02-01,224144,0,a452372
4239,1979-03-01,225419,0,a452372
4239,1979-04-01,226730,0,a452372
4239,1979-05-01,228205,0,a452372
4239,1979-06-01,229570,0,a452372
4239,1979-07-01,229857,0,a452372
4239,1979-08-01,229857,0,a452372
4239,1979-09-01,230100,0,a452372
4239,1979-10-01,231043,0,a452372
4239,1979-11-01,232192,0,a452372
4239,1979-12-01,233378,0,a452372
4239,1980-01-01,234078,0,a452372
4239,1980-02-01,235218,0,a452372
4239,1980-03-01,236585,0,a452372
4239,1980-04-01,237874,0,a452372
4239,1980-05-01,239056,0,a452372
4239,1980-06-01,239401,0,a452372
4239,1980-07-01,239777,0,a452372
4239,1980-08-01,240787,0,a452372
4239,1980-09-01,242096,0,a452372
4239,1980-10-01,242919,0,a452372
4239,1980-11-01,244147,0,a452372
4239,1980-12-01,245452,0,a452372
4239,1981-01-01,247212,0,a452372
4239,1981-02-01,248886,0,a452372
4239,1981-03-01,250273,0,a452372
4239,1981-04-01,251614,0,a452372
4239,1981-05-01,252087,0,a452372
4239,1981-06-01,252087,0,a452372
4239,1981-07-01,252365,0,a452372
4239,1981-08-01,253794,0,a452372
4239,1981-09-01,254956,0,a452372
4239,1981-10-01,256501,0,a452372
4239,1981-11-01,257260,0,a452372
4239,1981-12-01,258724,0,a452372
4239,1982-01-01,259758,0,a452372
4239,1982-02-01,260643,0,a452372
4239,1982-03-01,261177,0,a452372
4239,1982-04-01,262266,0,a452372
4239,1982-05-01,262738,0,a452372
4239,1982-06-01,262738,0,a452372
4239,1982-07-01,263016,0,a452372
4239,1982-08-01,263493,0,a452372
4239,1982-09-01,264481,0,a452372
4239,1982-10-01,265479,0,a452372
4239,1982-11-01,266577,0,a452372
4239,1982-12-01,267325,0,a452372
4239,1983-01-01,268108,0,a452372
4239,1983-02-01,269026,0,a452372
4239,1983-03-01,270167,0,a452372
4239,1983-04-01,270835,0,a452372
4239,1983-05-01,271801,0,a452372
4239,1983-06-01,272329,0,a452372
4239,1983-07-01,272329,0,a452372
4239,1983-08-01,272329,0,a452372
4239,1983-09-01,272896,0,a452372
4239,1983-10-01,273551,0,a452372
4239,1983-11-01,274248,0,a452372
4239,1983-12-01,275195,0,a452372
4239,1984-01-01,275978,0,a452372
4239,1984-02-01,276982,0,a452372
4239,1984-03-01,277972,0,a452372
4239,1984-04-01,278844,0,a452372
4239,1984-05-01,279686,0,a452372
4239,1984-06-01,280619,0,a452372
4239,1984-07-01,280815,0,a452372
4239,1984-08-01,280815,0,a452372
4239,1984-09-01,281150,0,a452372
4239,1984-10-01,281988,0,a452372
4239,1984-11-01,282787,0,a452372
4239,1984-12-01,283660,0,a452372
4239,1985-01-01,284582,0,a452372
4239,1985-02-01,285436,0,a452372
4239,1985-03-01,286328,0,a452372
4239,1985-04-01,287236,0,a452372
4239,1985-05-01,288025,0,a452372
4240,1974-12-01,174402,0,a452372
4240,1975-01-01,175116,1,a452372
4240,1975-02-01,177825,0,a452372
4240,1975-03-01,180406,0,a452372
4240,1975-04-01,183394,0,a452372
4240,1975-05-01,186944,0,a452372
4240,1975-06-01,189095,0,a452372
4240,1975-07-01,191633,0,a452372
4240,1975-08-01,194356,0,a452372
4240,1975-09-01,196188,0,a452372
4240,1975-10-01,198195,0,a452372
4240,1975-11-01,199854,0,a452372
4240,1975-12-01,201614,0,a452372
4240,1976-01-01,202834,0,a452372
4240,1976-02-01,203932,0,a452372
4240,1976-03-01,205803,0,a452372
4240,1976-04-01,207424,0,a452372
4240,1976-05-01,208809,0,a452372
4240,1976-06-01,210336,0,a452372
4240,1976-07-01,211754,0,a452372
4240,1976-08-01,213448,0,a452372
4240,1976-09-01,215252,0,a452372
4240,1976-10-01,217194,0,a452372
4240,1976-11-01,218927,0,a452372
4240,1976-12-01,220760,0,a452372
4240,1977-01-01,222529,0,a452372
4240,1977-02-01,223775,0,a452372
4240,1977-03-01,225467,0,a452372
4240,1977-04-01,227447,0,a452372
4240,1977-05-01,229094,0,a452372
4240,1977-06-01,230281,0,a452372
4240,1977-07-01,230711,0,a452372
4240,1977-08-01,231541,0,a452372
4240,1977-09-01,232595,0,a452372
4240,1977-10-01,234035,0,a452372
4240,1977-11-01,235425,0,a452372
4240,1977-12-01,236663,0,a452372
4240,1978-01-01,237854,0,a452372
4240,1978-02-01,239246,0,a452372
4240,1978-03-01,240621,0,a452372
4240,1978-04-01,242042,0,a452372
4240,1978-05-01,243354,0,a452372
4240,1978-06-01,244880,0,a452372
4240,1978-07-01,245907,0,a452372
4240,1978-08-01,246884,0,a452372
4240,1978-09-01,248008,0,a452372
4240,1978-10-01,249685,0,a452372
4240,1978-11-01,251476,0,a452372
4240,1978-12-01,253360,0,a452372
4240,1979-01-01,254884,0,a452372
4240,1979-02-01,256755,0,a452372
4240,1979-03-01,258066,0,a452372
4240,1979-04-01,259594,0,a452372
4240,1979-05-01,261343,0,a452372
4240,1979-06-01,262645,0,a452372
4240,1979-07-01,264857,0,a452372
4240,1979-08-01,264981,0,a452372
4240,1979-09-01,265339,0,a452372
4240,1979-10-01,267000,0,a452372
4240,1979-11-01,267921,0,a452372
4240,1979-12-01,269597,0,a452372
4240,1980-01-01,270398,0,a452372
4240,1980-02-01,271491,0,a452372
4240,1980-03-01,272606,0,a452372
4240,1980-04-01,274326,0,a452372
4240,1980-05-01,275586,0,a452372
4240,1980-06-01,276560,0,a452372
4240,1980-07-01,277790,0,a452372
4240,1980-08-01,279429,0,a452372
4240,1980-09-01,280755,0,a452372
4240,1980-10-01,282013,0,a452372
4240,1980-11-01,283130,0,a452372
4240,1980-12-01,284613,0,a452372
4240,1981-01-01,286193,0,a452372
4240,1981-02-01,287973,0,a452372
4240,1981-03-01,289650,0,a452372
4240,1981-04-01,291432,0,a452372
4240,1981-05-01,291791,0,a452372
4240,1981-06-01,291791,0,a452372
4240,1981-07-01,292224,0,a452372
4240,1981-08-01,293577,0,a452372
4240,1981-09-01,294770,0,a452372
4240,1981-10-01,296423,0,a452372
4240,1981-11-01,297351,0,a452372
4240,1981-12-01,298637,0,a452372
